index,level,都道府県番号,都道府県,市区町村,総人口,外国人人口
010006,level1,01,北海道,-,5044825.0,65621.0
011002,level2,01,北海道,札幌市,1955678.0,20665.0
011011,level3,01,北海道,札幌市中央区,245916.0,3918.0
011029,level3,01,北海道,札幌市北区,284333.0,4049.0
011037,level3,01,北海道,札幌市東区,260418.0,2400.0
011045,level3,01,北海道,札幌市白石区,213531.0,2283.0
011053,level3,01,北海道,札幌市豊平区,227092.0,2370.0
011061,level3,01,北海道,札幌市南区,133337.0,1256.0
011070,level3,01,北海道,札幌市西区,218835.0,1542.0
011088,level3,01,北海道,札幌市厚別区,123293.0,1074.0
011096,level3,01,北海道,札幌市手稲区,139810.0,919.0
011100,level3,01,北海道,札幌市清田区,109113.0,854.0
012025,level3,01,北海道,函館市,236515.0,1909.0
012033,level3,01,北海道,小樽市,104432.0,1089.0
012041,level3,01,北海道,旭川市,316183.0,1914.0
012050,level3,01,北海道,室蘭市,74855.0,581.0
012068,level3,01,北海道,釧路市,154271.0,1335.0
012076,level3,01,北海道,帯広市,160810.0,1530.0
012084,level3,01,北海道,北見市,110046.0,832.0
012092,level3,01,北海道,夕張市,6107.0,22.0
012106,level3,01,北海道,岩見沢市,74204.0,361.0
012114,level3,01,北海道,網走市,32199.0,543.0
012122,level3,01,北海道,留萌市,18169.0,218.0
012131,level3,01,北海道,苫小牧市,165590.0,1640.0
012149,level3,01,北海道,稚内市,30336.0,724.0
012157,level3,01,北海道,美唄市,18427.0,116.0
012165,level3,01,北海道,芦別市,11243.0,48.0
012173,level3,01,北海道,江別市,118055.0,1095.0
012181,level3,01,北海道,赤平市,8464.0,155.0
012190,level3,01,北海道,紋別市,19760.0,733.0
012203,level3,01,北海道,士別市,16440.0,160.0
012211,level3,01,北海道,名寄市,24742.0,118.0
012220,level3,01,北海道,三笠市,7268.0,44.0
012238,level3,01,北海道,根室市,22468.0,717.0
012246,level3,01,北海道,千歳市,97355.0,1324.0
012254,level3,01,北海道,滝川市,36515.0,142.0
012262,level3,01,北海道,砂川市,15231.0,60.0
012271,level3,01,北海道,歌志内市,2584.0,17.0
012289,level3,01,北海道,深川市,18329.0,163.0
012297,level3,01,北海道,富良野市,19624.0,627.0
012301,level3,01,北海道,登別市,43615.0,436.0
012319,level3,01,北海道,恵庭市,70446.0,1098.0
012335,level3,01,北海道,伊達市,31208.0,363.0
012343,level3,01,北海道,北広島市,56495.0,529.0
012351,level3,01,北海道,石狩市,57143.0,895.0
012360,level3,01,北海道,北斗市,42810.0,371.0
013030,level3,01,北海道,石狩郡当別町,15113.0,239.0
013048,level3,01,北海道,石狩郡新篠津村,2730.0,13.0
013315,level3,01,北海道,松前郡松前町,5818.0,50.0
013323,level3,01,北海道,松前郡福島町,3378.0,34.0
013331,level3,01,北海道,上磯郡知内町,3783.0,64.0
013340,level3,01,北海道,上磯郡木古内町,3528.0,22.0
013374,level3,01,北海道,亀田郡七飯町,27139.0,192.0
013439,level3,01,北海道,茅部郡鹿部町,3508.0,177.0
013455,level3,01,北海道,茅部郡森町,13582.0,620.0
013463,level3,01,北海道,二海郡八雲町,14514.0,456.0
013471,level3,01,北海道,山越郡長万部町,4696.0,280.0
013617,level3,01,北海道,檜山郡江差町,6607.0,35.0
013625,level3,01,北海道,檜山郡上ノ国町,4133.0,47.0
013633,level3,01,北海道,檜山郡厚沢部町,3269.0,41.0
013641,level3,01,北海道,爾志郡乙部町,3107.0,33.0
013676,level3,01,北海道,奥尻郡奥尻町,2138.0,7.0
013706,level3,01,北海道,瀬棚郡今金町,4444.0,11.0
013714,level3,01,北海道,久遠郡せたな町,6730.0,85.0
013919,level3,01,北海道,島牧郡島牧村,1246.0,2.0
013927,level3,01,北海道,寿都郡寿都町,2629.0,88.0
013935,level3,01,北海道,寿都郡黒松内町,2446.0,40.0
013943,level3,01,北海道,磯谷郡蘭越町,4501.0,228.0
