"tab_code","表章項目","cat01_code","男女別","cat02_code","人口","area_code","全国・都道府県","time_code","時間軸（年）","unit","value"
"001","人口","000","男女計","001","総人口","00000","全国","2005000001","2005年","千人","127768"
"001","人口","000","男女計","001","総人口","00000","全国","2010000001","2010年","千人","128057"
"001","人口","000","男女計","001","総人口","00000","全国","2015000001","2015年","千人","127095"
"001","人口","000","男女計","001","総人口","00000","全国","2020000000","2020年","千人","126146"
"001","人口","000","男女計","001","総人口","00000","全国","2021000000","2021年","千人","125502"
"001","人口","000","男女計","001","総人口","00000","全国","2022000000","2022年","千人","124947"
"001","人口","000","男女計","001","総人口","00000","全国","2023000000","2023年","千人","124352"
"001","人口","000","男女計","001","総人口","00000","全国","2024000000","2024年","千人","123802"
"001","人口","000","男女計","001","総人口","01000","北海道","2005000001","2005年","千人","5628"
"001","人口","000","男女計","001","総人口","01000","北海道","2010000001","2010年","千人","5506"
"001","人口","000","男女計","001","総人口","01000","北海道","2015000001","2015年","千人","5382"
"001","人口","000","男女計","001","総人口","01000","北海道","2020000000","2020年","千人","5225"
"001","人口","000","男女計","001","総人口","01000","北海道","2021000000","2021年","千人","5183"
"001","人口","000","男女計","001","総人口","01000","北海道","2022000000","2022年","千人","5140"
"001","人口","000","男女計","001","総人口","01000","北海道","2023000000","2023年","千人","5092"
"001","人口","000","男女計","001","総人口","01000","北海道","2024000000","2024年","千人","5043"
"001","人口","000","男女計","001","総人口","02000","青森県","2005000001","2005年","千人","1437"
"001","人口","000","男女計","001","総人口","02000","青森県","2010000001","2010年","千人","1373"
"001","人口","000","男女計","001","総人口","02000","青森県","2015000001","2015年","千人","1308"
"001","人口","000","男女計","001","総人口","02000","青森県","2020000000","2020年","千人","1238"
"001","人口","000","男女計","001","総人口","02000","青森県","2021000000","2021年","千人","1221"
"001","人口","000","男女計","001","総人口","02000","青森県","2022000000","2022年","千人","1204"
"001","人口","000","男女計","001","総人口","02000","青森県","2023000000","2023年","千人","1184"
"001","人口","000","男女計","001","総人口","02000","青森県","2024000000","2024年","千人","1165"
"001","人口","000","男女計","001","総人口","03000","岩手県","2005000001","2005年","千人","1385"
"001","人口","000","男女計","001","総人口","03000","岩手県","2010000001","2010年","千人","1330"
"001","人口","000","男女計","001","総人口","03000","岩手県","2015000001","2015年","千人","1280"
"001","人口","000","男女計","001","総人口","03000","岩手県","2020000000","2020年","千人","1211"
"001","人口","000","男女計","001","総人口","03000","岩手県","2021000000","2021年","千人","1196"
"001","人口","000","男女計","001","総人口","03000","岩手県","2022000000","2022年","千人","1181"
"001","人口","000","男女計","001","総人口","03000","岩手県","2023000000","2023年","千人","1163"
"001","人口","000","男女計","001","総人口","03000","岩手県","2024000000","2024年","千人","1145"
"001","人口","000","男女計","001","総人口","04000","宮城県","2005000001","2005年","千人","2360"
"001","人口","000","男女計","001","総人口","04000","宮城県","2010000001","2010年","千人","2348"
"001","人口","000","男女計","001","総人口","04000","宮城県","2015000001","2015年","千人","2334"
"001","人口","000","男女計","001","総人口","04000","宮城県","2020000000","2020年","千人","2302"
"001","人口","000","男女計","001","総人口","04000","宮城県","2021000000","2021年","千人","2290"
"001","人口","000","男女計","001","総人口","04000","宮城県","2022000000","2022年","千人","2280"
"001","人口","000","男女計","001","総人口","04000","宮城県","2023000000","2023年","千人","2264"
"001","人口","000","男女計","001","総人口","04000","宮城県","2024000000","2024年","千人","2248"
"001","人口","000","男女計","001","総人口","05000","秋田県","2005000001","2005年","千人","1146"
"001","人口","000","男女計","001","総人口","05000","秋田県","2010000001","2010年","千人","1086"
"001","人口","000","男女計","001","総人口","05000","秋田県","2015000001","2015年","千人","1023"
"001","人口","000","男女計","001","総人口","05000","秋田県","2020000000","2020年","千人","960"
"001","人口","000","男女計","001","総人口","05000","秋田県","2021000000","2021年","千人","945"
"001","人口","000","男女計","001","総人口","05000","秋田県","2022000000","2022年","千人","930"
"001","人口","000","男女計","001","総人口","05000","秋田県","2023000000","2023年","千人","914"
"001","人口","000","男女計","001","総人口","05000","秋田県","2024000000","2024年","千人","897"
"001","人口","000","男女計","001","総人口","06000","山形県","2005000001","2005年","千人","1216"
"001","人口","000","男女計","001","総人口","06000","山形県","2010000001","2010年","千人","1169"
"001","人口","000","男女計","001","総人口","06000","山形県","2015000001","2015年","千人","1124"
"001","人口","000","男女計","001","総人口","06000","山形県","2020000000","2020年","千人","1068"
"001","人口","000","男女計","001","総人口","06000","山形県","2021000000","2021年","千人","1055"
"001","人口","000","男女計","001","総人口","06000","山形県","2022000000","2022年","千人","1041"
"001","人口","000","男女計","001","総人口","06000","山形県","2023000000","2023年","千人","1026"
"001","人口","000","男女計","001","総人口","06000","山形県","2024000000","2024年","千人","1011"
"001","人口","000","男女計","001","総人口","07000","福島県","2005000001","2005年","千人","2091"
"001","人口","000","男女計","001","総人口","07000","福島県","2010000001","2010年","千人","2029"
"001","人口","000","男女計","001","総人口","07000","福島県","2015000001","2015年","千人","1914"
"001","人口","000","男女計","001","総人口","07000","福島県","2020000000","2020年","千人","1833"
"001","人口","000","男女計","001","総人口","07000","福島県","2021000000","2021年","千人","1812"
"001","人口","000","男女計","001","総人口","07000","福島県","2022000000","2022年","千人","1790"
"001","人口","000","男女計","001","総人口","07000","福島県","2023000000","2023年","千人","1767"
"001","人口","000","男女計","001","総人口","07000","福島県","2024000000","2024年","千人","1743"
"001","人口","000","男女計","001","総人口","08000","茨城県","2005000001","2005年","千人","2975"
"001","人口","000","男女計","001","総人口","08000","茨城県","2010000001","2010年","千人","2970"
"001","人口","000","男女計","001","総人口","08000","茨城県","2015000001","2015年","千人","2917"
"001","人口","000","男女計","001","総人口","08000","茨城県","2020000000","2020年","千人","2867"
"001","人口","000","男女計","001","総人口","08000","茨城県","2021000000","2021年","千人","2852"
"001","人口","000","男女計","001","総人口","08000","茨城県","2022000000","2022年","千人","2840"
"001","人口","000","男女計","001","総人口","08000","茨城県","2023000000","2023年","千人","2825"
"001","人口","000","男女計","001","総人口","08000","茨城県","2024000000","2024年","千人","2806"
"001","人口","000","男女計","001","総人口","09000","栃木県","2005000001","2005年","千人","2017"
"001","人口","000","男女計","001","総人口","09000","栃木県","2010000001","2010年","千人","2008"
"001","人口","000","男女計","001","総人口","09000","栃木県","2015000001","2015年","千人","1974"
"001","人口","000","男女計","001","総人口","09000","栃木県","2020000000","2020年","千人","1933"
"001","人口","000","男女計","001","総人口","09000","栃木県","2021000000","2021年","千人","1921"
"001","人口","000","男女計","001","総人口","09000","栃木県","2022000000","2022年","千人","1909"
"001","人口","000","男女計","001","総人口","09000","栃木県","2023000000","2023年","千人","1897"
"001","人口","000","男女計","001","総人口","09000","栃木県","2024000000","2024年","千人","1885"
"001","人口","000","男女計","001","総人口","10000","群馬県","2005000001","2005年","千人","2024"
"001","人口","000","男女計","001","総人口","10000","群馬県","2010000001","2010年","千人","2008"
"001","人口","000","男女計","001","総人口","10000","群馬県","2015000001","2015年","千人","1973"
"001","人口","000","男女計","001","総人口","10000","群馬県","2020000000","2020年","千人","1939"
"001","人口","000","男女計","001","総人口","10000","群馬県","2021000000","2021年","千人","1927"
"001","人口","000","男女計","001","総人口","10000","群馬県","2022000000","2022年","千人","1913"
"001","人口","000","男女計","001","総人口","10000","群馬県","2023000000","2023年","千人","1902"
"001","人口","000","男女計","001","総人口","10000","群馬県","2024000000","2024年","千人","1890"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2005000001","2005年","千人","7054"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2010000001","2010年","千人","7195"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2015000001","2015年","千人","7267"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2020000000","2020年","千人","7345"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2021000000","2021年","千人","7340"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2022000000","2022年","千人","7337"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2023000000","2023年","千人","7331"
"001","人口","000","男女計","001","総人口","11000","埼玉県","2024000000","2024年","千人","7332"
"001","人口","000","男女計","001","総人口","12000","千葉県","2005000001","2005年","千人","6056"
"001","人口","000","男女計","001","総人口","12000","千葉県","2010000001","2010年","千人","6216"
"001","人口","000","男女計","001","総人口","12000","千葉県","2015000001","2015年","千人","6223"
"001","人口","000","男女計","001","総人口","12000","千葉県","2020000000","2020年","千人","6284"
"001","人口","000","男女計","001","総人口","12000","千葉県","2021000000","2021年","千人","6275"
"001","人口","000","男女計","001","総人口","12000","千葉県","2022000000","2022年","千人","6266"
"001","人口","000","男女計","001","総人口","12000","千葉県","2023000000","2023年","千人","6257"
"001","人口","000","男女計","001","総人口","12000","千葉県","2024000000","2024年","千人","6251"
"001","人口","000","男女計","001","総人口","13000","東京都","2005000001","2005年","千人","12577"
"001","人口","000","男女計","001","総人口","13000","東京都","2010000001","2010年","千人","13159"
"001","人口","000","男女計","001","総人口","13000","東京都","2015000001","2015年","千人","13515"
"001","人口","000","男女計","001","総人口","13000","東京都","2020000000","2020年","千人","14048"
"001","人口","000","男女計","001","総人口","13000","東京都","2021000000","2021年","千人","14010"
"001","人口","000","男女計","001","総人口","13000","東京都","2022000000","2022年","千人","14038"
"001","人口","000","男女計","001","総人口","13000","東京都","2023000000","2023年","千人","14086"
