"tab_code","表章項目","cat01_code","在留資格（在留目的）","cat03_code","国籍","time_code","時間軸（年次）","unit","value"
"101","人数","1010","総数","000","総数","2011000000","2011年","人","2078508"
"101","人数","1010","総数","000","総数","2010000000","2010年","人","2134151"
"101","人数","1010","総数","000","総数","2009000000","2009年","人","2186121"
"101","人数","1010","総数","000","総数","2008000000","2008年","人","2217426"
"101","人数","1010","総数","000","総数","2007000000","2007年","人","2152973"
"101","人数","1010","総数","000","総数","2006000000","2006年","人","2084919"
"101","人数","1010","総数","100","アジア","2011000000","2011年","人","1653679"
"101","人数","1010","総数","100","アジア","2010000000","2010年","人","1681469"
"101","人数","1010","総数","100","アジア","2009000000","2009年","人","1688865"
"101","人数","1010","総数","100","アジア","2008000000","2008年","人","1670150"
"101","人数","1010","総数","100","アジア","2007000000","2007年","人","1602984"
"101","人数","1010","総数","100","アジア","2006000000","2006年","人","1540764"
"101","人数","1010","総数","130","アフガニスタン","2011000000","2011年","人","1355"
"101","人数","1010","総数","130","アフガニスタン","2010000000","2010年","人","1148"
"101","人数","1010","総数","130","アフガニスタン","2009000000","2009年","人","1021"
"101","人数","1010","総数","130","アフガニスタン","2008000000","2008年","人","881"
"101","人数","1010","総数","130","アフガニスタン","2007000000","2007年","人","702"
"101","人数","1010","総数","130","アフガニスタン","2006000000","2006年","人","646"
"101","人数","1010","総数","147","アラブ首長国連邦","2011000000","2011年","人","62"
"101","人数","1010","総数","147","アラブ首長国連邦","2010000000","2010年","人","64"
"101","人数","1010","総数","147","アラブ首長国連邦","2009000000","2009年","人","60"
"101","人数","1010","総数","147","アラブ首長国連邦","2008000000","2008年","人","35"
"101","人数","1010","総数","147","アラブ首長国連邦","2007000000","2007年","人","24"
"101","人数","1010","総数","147","アラブ首長国連邦","2006000000","2006年","人","25"
"101","人数","1010","総数","122","ミャンマー","2011000000","2011年","人","8692"
"101","人数","1010","総数","122","ミャンマー","2010000000","2010年","人","8577"
"101","人数","1010","総数","122","ミャンマー","2009000000","2009年","人","8366"
"101","人数","1010","総数","122","ミャンマー","2008000000","2008年","人","7789"
"101","人数","1010","総数","122","ミャンマー","2007000000","2007年","人","6735"
"101","人数","1010","総数","122","ミャンマー","2006000000","2006年","人","5914"
"101","人数","1010","総数","135","バーレーン","2011000000","2011年","人","23"
"101","人数","1010","総数","135","バーレーン","2010000000","2010年","人","22"
"101","人数","1010","総数","135","バーレーン","2009000000","2009年","人","20"
"101","人数","1010","総数","135","バーレーン","2008000000","2008年","人","16"
"101","人数","1010","総数","135","バーレーン","2007000000","2007年","人","15"
"101","人数","1010","総数","135","バーレーン","2006000000","2006年","人","15"
"101","人数","1010","総数","132","ブータン","2011000000","2011年","人","54"
"101","人数","1010","総数","132","ブータン","2010000000","2010年","人","63"
"101","人数","1010","総数","132","ブータン","2009000000","2009年","人","68"
"101","人数","1010","総数","132","ブータン","2008000000","2008年","人","72"
"101","人数","1010","総数","132","ブータン","2007000000","2007年","人","70"
"101","人数","1010","総数","132","ブータン","2006000000","2006年","人","62"
"101","人数","1010","総数","127","バングラデシュ","2011000000","2011年","人","9413"
"101","人数","1010","総数","127","バングラデシュ","2010000000","2010年","人","10175"
"101","人数","1010","総数","127","バングラデシュ","2009000000","2009年","人","11162"
"101","人数","1010","総数","127","バングラデシュ","2008000000","2008年","人","11414"
"101","人数","1010","総数","127","バングラデシュ","2007000000","2007年","人","11255"
"101","人数","1010","総数","127","バングラデシュ","2006000000","2006年","人","11329"
"101","人数","1010","総数","116","ブルネイ","2011000000","2011年","人","36"
"101","人数","1010","総数","116","ブルネイ","2010000000","2010年","人","33"
"101","人数","1010","総数","116","ブルネイ","2009000000","2009年","人","31"
"101","人数","1010","総数","116","ブルネイ","2008000000","2008年","人","31"
"101","人数","1010","総数","116","ブルネイ","2007000000","2007年","人","30"
"101","人数","1010","総数","116","ブルネイ","2006000000","2006年","人","35"
"101","人数","1010","総数","120","カンボジア","2011000000","2011年","人","2770"
"101","人数","1010","総数","120","カンボジア","2010000000","2010年","人","2683"
"101","人数","1010","総数","120","カンボジア","2009000000","2009年","人","2651"
"101","人数","1010","総数","120","カンボジア","2008000000","2008年","人","2572"
"101","人数","1010","総数","120","カンボジア","2007000000","2007年","人","2474"
"101","人数","1010","総数","120","カンボジア","2006000000","2006年","人","2353"
"101","人数","1010","総数","125","スリランカ","2011000000","2011年","人","9303"
"101","人数","1010","総数","125","スリランカ","2010000000","2010年","人","9097"
