都道府県,国籍,時点,人口
総数,総数,2024/06,3588956
北海道,総数,2024/06,60273
青森県,総数,2024/06,8045
岩手県,総数,2024/06,10644
宮城県,総数,2024/06,28330
秋田県,総数,2024/06,5571
山形県,総数,2024/06,10058
福島県,総数,2024/06,18936
茨城県,総数,2024/06,97038
栃木県,総数,2024/06,54493
群馬県,総数,2024/06,79470
埼玉県,総数,2024/06,249327
千葉県,総数,2024/06,219131
東京都,総数,2024/06,701955
神奈川県,総数,2024/06,280020
新潟県,総数,2024/06,22139
富山県,総数,2024/06,23382
石川県,総数,2024/06,20234
福井県,総数,2024/06,18937
山梨県,総数,2024/06,22547
長野県,総数,2024/06,44834
岐阜県,総数,2024/06,71617
静岡県,総数,2024/06,120314
愛知県,総数,2024/06,321041
三重県,総数,2024/06,66509
滋賀県,総数,2024/06,41490
京都府,総数,2024/06,79617
大阪府,総数,2024/06,317421
兵庫県,総数,2024/06,137044
奈良県,総数,2024/06,18320
和歌山県,総数,2024/06,9572
鳥取県,総数,2024/06,5864
島根県,総数,2024/06,10686
岡山県,総数,2024/06,37129
広島県,総数,2024/06,64419
山口県,総数,2024/06,20649
徳島県,総数,2024/06,8321
香川県,総数,2024/06,18415
愛媛県,総数,2024/06,17439
高知県,総数,2024/06,6379
福岡県,総数,2024/06,105049
佐賀県,総数,2024/06,10378
長崎県,総数,2024/06,14277
熊本県,総数,2024/06,27407
大分県,総数,2024/06,18954
宮崎県,総数,2024/06,10494
鹿児島県,総数,2024/06,17358
沖縄県,総数,2024/06,26996
未定・不詳,総数,2024/06,10433
総数,中国,2024/06,844187
北海道,中国,2024/06,9824
青森県,中国,2024/06,983
岩手県,中国,2024/06,1544
宮城県,中国,2024/06,5563
秋田県,中国,2024/06,947
山形県,中国,2024/06,1883
福島県,中国,2024/06,3086
茨城県,中国,2024/06,12532
栃木県,中国,2024/06,6328
群馬県,中国,2024/06,6603
埼玉県,中国,2024/06,81800
千葉県,中国,2024/06,59619
東京都,中国,2024/06,272328
神奈川県,中国,2024/06,78979
新潟県,中国,2024/06,4453
富山県,中国,2024/06,4360
石川県,中国,2024/06,3915
福井県,中国,2024/06,1987
山梨県,中国,2024/06,4458
長野県,中国,2024/06,8456
岐阜県,中国,2024/06,9300
静岡県,中国,2024/06,10360
愛知県,中国,2024/06,46122
三重県,中国,2024/06,6451
滋賀県,中国,2024/06,4745
京都府,中国,2024/06,18954
大阪府,中国,2024/06,81499
兵庫県,中国,2024/06,23762
奈良県,中国,2024/06,3093
和歌山県,中国,2024/06,1331
鳥取県,中国,2024/06,730
島根県,中国,2024/06,1083
岡山県,中国,2024/06,6967
広島県,中国,2024/06,12141
山口県,中国,2024/06,2392
徳島県,中国,2024/06,1613
香川県,中国,2024/06,3066
愛媛県,中国,2024/06,2617
高知県,中国,2024/06,937
福岡県,中国,2024/06,20998
佐賀県,中国,2024/06,1007
長崎県,中国,2024/06,2072
熊本県,中国,2024/06,3394
大分県,中国,2024/06,2277
宮崎県,中国,2024/06,877
鹿児島県,中国,2024/06,1705
沖縄県,中国,2024/06,2969
未定・不詳,中国,2024/06,2077
総数,ベトナム,2024/06,600348
北海道,ベトナム,2024/06,13287
青森県,ベトナム,2024/06,2381
岩手県,ベトナム,2024/06,2763
宮城県,ベトナム,2024/06,4977
秋田県,ベトナム,2024/06,1023
山形県,ベトナム,2024/06,2991
福島県,ベトナム,2024/06,4707
茨城県,ベトナム,2024/06,19279
栃木県,ベトナム,2024/06,11206
