都道府県,在留資格,時点,人口
総数,総数,2024/06,3588956.0
北海道,総数,2024/06,60273.0
青森県,総数,2024/06,8045.0
岩手県,総数,2024/06,10644.0
宮城県,総数,2024/06,28330.0
秋田県,総数,2024/06,5571.0
山形県,総数,2024/06,10058.0
福島県,総数,2024/06,18936.0
茨城県,総数,2024/06,97038.0
栃木県,総数,2024/06,54493.0
群馬県,総数,2024/06,79470.0
埼玉県,総数,2024/06,249327.0
千葉県,総数,2024/06,219131.0
東京都,総数,2024/06,701955.0
神奈川県,総数,2024/06,280020.0
新潟県,総数,2024/06,22139.0
富山県,総数,2024/06,23382.0
石川県,総数,2024/06,20234.0
福井県,総数,2024/06,18937.0
山梨県,総数,2024/06,22547.0
長野県,総数,2024/06,44834.0
岐阜県,総数,2024/06,71617.0
静岡県,総数,2024/06,120314.0
愛知県,総数,2024/06,321041.0
三重県,総数,2024/06,66509.0
滋賀県,総数,2024/06,41490.0
京都府,総数,2024/06,79617.0
大阪府,総数,2024/06,317421.0
兵庫県,総数,2024/06,137044.0
奈良県,総数,2024/06,18320.0
和歌山県,総数,2024/06,9572.0
鳥取県,総数,2024/06,5864.0
島根県,総数,2024/06,10686.0
岡山県,総数,2024/06,37129.0
広島県,総数,2024/06,64419.0
山口県,総数,2024/06,20649.0
徳島県,総数,2024/06,8321.0
香川県,総数,2024/06,18415.0
愛媛県,総数,2024/06,17439.0
高知県,総数,2024/06,6379.0
福岡県,総数,2024/06,105049.0
佐賀県,総数,2024/06,10378.0
長崎県,総数,2024/06,14277.0
熊本県,総数,2024/06,27407.0
大分県,総数,2024/06,18954.0
宮崎県,総数,2024/06,10494.0
鹿児島県,総数,2024/06,17358.0
沖縄県,総数,2024/06,26996.0
未定・不詳,総数,2024/06,10433.0
,総数,2024/06,
,総数,2024/06,
,総数,2024/06,
,総数,2024/06,
※　以下の表について同じです。,総数,2024/06,
総数,永住者,2024/06,902203.0
北海道,永住者,2024/06,6614.0
